Key,English,Filipino
UI_EVENT_EXPBOOST,Exp Boost!,Pag-boost ng EXP!
UI_EVENT_ACCESSORYUPGRADE,Accessory Upgrading!,Pag-upgrade ng Accessory!
UI_EVENT_WEAPONPIERCING,Weapon Piercing!,Piercing ng Sandata!
UI_EVENT_PARTYEXPBOOST,Party Exp Boost!,Boost ng EXP para sa Party!
UI_EVENT_GOLDENAIBATT,Find the Golden Aibatt!,Hanapin ang Golden Aibatt!
UI_EVENT_GOLDENAIBATT_DESC,Kill the Golden Aibatt in dungeons and get drop bonuses!,Patayin ang Golden Aibatt sa mga dungeon at makakuha ng mga drop bonus!
UI_EVENT_NIGHTBOOST,Night Boost!,Gabi Boost!
UI_EVENT_NIGHTBOOST_DESC,+30% Exp when it's night in game!,+30% EXP kapag gabi sa laro!
UI_EVENT_NIGHTBOOST_NIGHT,It's night! x1.3 Exp!!,Gabi na! x1.3 EXP!!
UI_EVENT_NIGHTBOOST_DAY,"Sun is here, x1.3 Exp is over...","Sumikat na ang araw, tapos na ang x1.3 EXP..."
UI_EVENT_EASTER,Easter Event,Easter na Kaganapan
UI_EVENT_EASTER_DESC,Complete Eggcellent's Meadow to get Pink Easter Eggs!,Tapusin ang Eggcellents Meadow para makakuha ng Pink Easter Eggs!
UI_EVENT_SPRING,Spring Event!,Spring na Kaganapan!
UI_EVENT_DIAMONDINTHESKY,Diamond in the sky,Diamante sa Langit
UI_EVENT_DIAMONDINTHESKY_DESC,Destroy the stars in the night sky to obtain star fragments!,Sirain ang mga bituin sa kalangitan ng gabi para makakuha ng mga piraso ng bituin!
UI_EVENT_DIAMONDINTHESKY_NIGHT,Night has come! The stars are coming out.. Find them in the sky!,Dumating na ang gabi! Lumalabas na ang mga bituin.. Hanapin sila sa langit!
UI_EVENT_DIAMONDINTHESKY_DAY,"Nighttime has passed, the stars are disappearing.","Lumipas na ang gabi, nawawala na ang mga bituin."
UI_EVENT_DUNGEONCOINS,Dungeon Coins Discount!,Diskwento sa Dungeon Coins!
UI_EVENT_DUNGEONCOINS_DESC,Spend fewer Dungeon Coins when taking on missions or entering dungeons!,Mas kakaunti ang Dungeon Coins na gagastusin kapag kumukuha ng misyon o pumapasok sa dungeon!
UI_EVENT_ANNIVERSARY,1 Year Anniversary!,Ika-1 Anibersaryo!
UI_EVENT_ANNIVERSARY_DESC,FlyFF Universe is turning 1! A huge thank you to all of our players who made this milestone possible!,Isang taon na ang FlyFF Universe! Malaking pasasalamat sa lahat ng manlalaro na nagawa itong posible!
UI_EVENT_ANNIVERSARY_ATTENDANCE,1 Year Anniversary Attendance,Pagdalo para sa Ika-1 Anibersaryo
UI_EVENT_ANNIVERSARY_ATTENDANCE_DESC,Login each day for 40 minutes and receive rewards!,Mag-login araw-araw nang 40 minuto at makatanggap ng mga gantimpala!
UI_EVENT_FWC,Flyff World Championship,Flyff World Championship
UI_EVENT_FWC_LEVELREACH,FWC Level Reach,Abutin ang Level sa FWC
UI_EVENT_FWC_LEVELREACH_DESC,Reach new levels during the event period and receive rewards! Only on the Flyff World Championship server!,Abutin ang mga bagong level habang tumatakbo ang event at tumanggap ng mga gantimpala! Eksklusibo sa Flyff World Championship server!
UI_EVENT_FWC_GEAREXCHANGE_DESC,Exchange FWC Gear at the [FWC Manager] Ava to get more rewards!,Ipagpalit ang FWC Gear kay [FWC Manager] Ava para makakuha ng dagdag na gantimpala!
